Q1. 年齢を教えてください,Q2. 性別を教えてください,Q3. 現在の職種を教えてください,Q4. この仕事を受注したサービス・経路を教えてください（複数回答可）,Q5. その仕事を受注・開始した年を教えてください（西暦）,Q6. その仕事を受注・開始した月を教えてください,Q7. 仕事の主なカテゴリを教えてください,Q8. 具体的に行った仕事内容を教えてください,Q9. 契約・報酬の形式を教えてください,Q10. この仕事で受け取った報酬額を教えてください,Q11. 実際の作業時間を教えてください（合計）,Q12. 使用したAI・AIツールを教えてください（複数回答可）,Q13. その中で一番使ったAIを1つ教えてください,Q14. AIを何に使いましたか（複数回答可）,Q15. 仕事全体のうちAIが担った割合を教えてください,Q16. AIの出力を人間がどれくらい修正しましたか,Q17. もしAIがなければ、この仕事を受けましたか,Q18. クライアント側のAI利用ルールはどうでしたか,Q19. AI利用をクライアントに伝えましたか,Q20. 修正依頼の回数を教えてください（0回を含む）,Q21. その仕事の結果はどうなりましたか,Q22. また同じような仕事を受けたいと思いますか,Q23. 最後に、ご意見・ご感想がありましたらご自由にお書きください
30代,女性,主婦・主夫,クラウドワークス,2024,9月,ライティング・記事作成,企業ブログ用の記事を構成案から執筆しました,コンペ形式,"5,001〜10,000円",10〜20時間,NotebookLM、ChatGPT、Gemini、Claude,NotebookLM,翻訳,100%,大幅に修正した,受けたが時間がかかった,AI利用に条件あり,伝えた,1回,契約解除・不採用になった,ぜひ受けたい,なし
50代,男性,パート・アルバイト,ココナラ、知人からの紹介,2025,12月,ライティング・記事作成,既存記事のリライトと見出しの調整を行いました,固定報酬制,"10,001〜30,000円",1〜3時間,Copilot、Claude、Gemini,Gemini,文章の下書き作成、構成案・アウトライン作成、表・データの整理,51〜75%,ほとんど修正していない,受けたが時間がかかった,ルールなし・不明,伝えていない,1回,修正が多かった,どちらとも言えない,
40代,男性,自営業,クラウドワークス,2024,10月,翻訳,セミナー録音の文字起こしと議事録化を行いました,時間単価制,"30,001〜50,000円",10〜20時間,NotebookLM、Gemini、ChatGPT,ChatGPT,構成案・アウトライン作成、翻訳、校正・推敲,100%,半分程度修正した,変わらず受けた,ルールなし・不明,伝えた,1回,問題なく完了した,ぜひ受けたい,
40代,男性,会社員（副業として）,クラウドワークス,2025,2月,ライティング・記事作成,問い合わせ対応用のテンプレート文を整備しました,時間単価制,"30,001〜50,000円",5〜10時間,ChatGPT、Perplexity、Gemini,ChatGPT,構成案・アウトライン作成、文章の下書き作成、翻訳、アイデア出し,51〜75%,大幅に修正した,受けたが時間がかかった,AI利用に条件あり,聞かれたら答えた,2回,問題なく完了した,ぜひ受けたい,納品物の最終責任は自分にあると強く感じます
50代,女性,主婦・主夫,ランサーズ,2025,9月,ライティング・記事作成,アンケートの自由記述を分類して集計しました,時間単価制,"100,001円以上",3〜5時間,NotebookLM、ChatGPT,ChatGPT,文章の下書き作成,51〜75%,大幅に修正した,受けたが時間がかかった,AI利用可,伝えていない,1回,修正が多かった,ぜひ受けたい,下調べの時間が減った分、推敲に時間を回せました
20代,男性,会社員（副業として）,クラウドワークス,2025,1月,データ入力・リスト作成,プレスリリースの下書きを作成しました,固定報酬制,"5,001〜10,000円",1〜3時間,ChatGPT,ChatGPT,要約、構成案・アウトライン作成、表・データの整理,51〜75%,少し修正した,受けなかった,ルールなし・不明,伝えた,2回,契約解除・不採用になった,受けてもよい,単価が下がってきている気がして複雑です
50代,女性,主婦・主夫,クラウドワークス,2024,7月,ライティング・記事作成,ランディングページのキャッチコピーを20案出しました,時間単価制,"10,001〜30,000円",3〜5時間,ChatGPT、Midjourney、Claude,Claude,翻訳、リサーチ・情報収集,51〜75%,少し修正した,わからない,ルールなし・不明,伝えた,1回,問題なく完了した,どちらとも言えない,作業時間は体感で半分くらいになりました
40代,男性,パート・アルバイト,ココナラ、クラウドワークス,2025,9月,SNS運用代行,社内マニュアルのたたき台を作成しました,固定報酬制,"5,001〜10,000円",10〜20時間,Gemini、Copilot,Gemini,コード生成、構成案・アウトライン作成、アイデア出し、文章の下書き作成,26〜50%,少し修正した,受けたが時間がかかった,AI利用禁止,伝えていない,0回,高評価だった,ぜひ受けたい,
20代,女性,自営業,ランサーズ、クラウドワークス,2024,9月,ライティング・記事作成,アンケートの自由記述を分類して集計しました,固定報酬制,"100,001円以上",1〜3時間,Gemini、NotebookLM、Claude、Perplexity,Claude,文章の下書き作成、画像生成、アイデア出し,51〜75%,大幅に修正した,受けなかった,AI利用禁止,伝えていない,1回,問題なく完了した,あまり受けたくない,AI利用の可否は最初に確認しておくと安心です
20代,女性,フリーランス,クラウドワークス、知人からの紹介,2023,1月,翻訳,ECサイトの商品説明文を30本作成しました,固定報酬制,"50,001〜100,000円",1〜3時間,ChatGPT、Gemini、Claude、Canva AI,Gemini,構成案・アウトライン作成,26〜50%,少し修正した,受けなかった,ルールなし・不明,伝えていない,1回,問題なく完了した,ぜひ受けたい,
