Q1. 年齢を教えてください	Q2. 性別を教えてください	Q3. 現在の職種を教えてください	Q4. この仕事を受注したサービス・経路を教えてください（複数回答可）	Q5. その仕事を受注・開始した年を教えてください（西暦）	Q6. その仕事を受注・開始した月を教えてください	Q7. 仕事の主なカテゴリを教えてください	Q8. 具体的に行った仕事内容を教えてください	Q9. 契約・報酬の形式を教えてください	Q10. この仕事で受け取った報酬額を教えてください	Q11. 実際の作業時間を教えてください（合計）	Q12. 使用したAI・AIツールを教えてください（複数回答可）	Q13. その中で一番使ったAIを1つ教えてください	Q14. AIを何に使いましたか（複数回答可）	Q15. 仕事全体のうちAIが担った割合を教えてください	Q16. AIの出力を人間がどれくらい修正しましたか	Q17. もしAIがなければ、この仕事を受けましたか	Q18. クライアント側のAI利用ルールはどうでしたか	Q19. AI利用をクライアントに伝えましたか	Q20. 修正依頼の回数を教えてください（0回を含む）	Q21. その仕事の結果はどうなりましたか	Q22. また同じような仕事を受けたいと思いますか	Q23. 最後に、ご意見・ご感想がありましたらご自由にお書きください
50代	女性	自営業	ランサーズ、クラウドワークス	2025	7月	Web制作・コーディング	求人原稿の作成と校正を行いました	固定報酬制	30,001〜50,000円	3〜5時間	Midjourney	Midjourney	コード生成	76〜99%	大幅に修正した	受けたが時間がかかった	ルールなし・不明	伝えていない	2回	問題なく完了した	受けてもよい	
30代	女性	会社員（副業として）	ココナラ、クラウドワークス	2023	2月	資料作成	求人原稿の作成と校正を行いました	固定報酬制	5,001〜10,000円	20時間以上	Gemini、ChatGPT、NotebookLM、Stable Diffusion	Gemini	文章の下書き作成、校正・推敲、アイデア出し、要約	76〜99%	少し修正した	受けたが時間がかかった	AI利用可	伝えていない	1回	問題なく完了した	受けたくない	納品物の最終責任は自分にあると強く感じます
20代	男性	フリーランス	ランサーズ	2024	4月	ライティング・記事作成	表計算の集計マクロを作成しました	タスク形式	10,001〜30,000円	1〜3時間	Gemini	Gemini	校正・推敲、要約、文章の下書き作成、アイデア出し	51〜75%	ほとんど修正していない	受けなかった	AI利用可	伝えた	1回	問題なく完了した	どちらとも言えない	専門用語の誤りが多く、そのままでは使えませんでした
40代	女性	主婦・主夫	ランサーズ	2025	1月	ライティング・記事作成	動画の字幕とテロップ用テキストを作成しました	コンペ形式	5,001〜10,000円	5〜10時間	ChatGPT、Claude、Gemini、NotebookLM	ChatGPT	要約	26〜50%	半分程度修正した	受けたが時間がかかった	AI利用に条件あり	伝えていない	1回	契約解除・不採用になった	どちらとも言えない	文章の型が単調になりやすいので手を入れています
20代	男性	主婦・主夫	ランサーズ、クラウドワークス	2025	8月	動画編集	SNS投稿用の短文を50本作成しました	タスク形式	5,001〜10,000円	5〜10時間	ChatGPT、Felo、Claude、Gemini	ChatGPT	文章の下書き作成	1〜25%	半分程度修正した	受けたが時間がかかった	ルールなし・不明	伝えた	2回	契約解除・不採用になった	どちらとも言えない	単価が下がってきている気がして複雑です
20代	女性	会社員（副業として）	直接契約	2025	2月	動画編集	求人原稿の作成と校正を行いました	固定報酬制	10,001〜30,000円	10〜20時間	Gemini、ChatGPT、NotebookLM	ChatGPT	文章の下書き作成、表・データの整理	76〜99%	大幅に修正した	変わらず受けた	AI利用禁止	伝えた	1回	高評価だった	受けてもよい	
50代	男性	自営業	知人からの紹介、直接契約	2025	9月	データ入力・リスト作成	アンケートの自由記述を分類して集計しました	コンペ形式	5,001〜10,000円	〜1時間	ChatGPT、Felo	ChatGPT	文章の下書き作成、要約、構成案・アウトライン作成	51〜75%	半分程度修正した	受けなかった	AI利用に条件あり	伝えた	1回	問題なく完了した	ぜひ受けたい	
30代	男性	フリーランス	ココナラ	2024	1月	ライティング・記事作成	動画の字幕とテロップ用テキストを作成しました	時間単価制	5,001〜10,000円	3〜5時間	ChatGPT、Perplexity	ChatGPT	文章の下書き作成、翻訳、アイデア出し	26〜50%	ほぼ書き直した	受けなかった	ルールなし・不明	伝えた	3回	問題なく完了した	どちらとも言えない	下調べの時間が減った分、推敲に時間を回せました
30代	その他	主婦・主夫	クラウドワークス、ランサーズ	2025	9月	データ入力・リスト作成	問い合わせ対応用のテンプレート文を整備しました	固定報酬制	10,001〜30,000円	〜1時間	ChatGPT、Gemini、Copilot	ChatGPT	構成案・アウトライン作成、コード生成、校正・推敲	26〜50%	大幅に修正した	変わらず受けた	AI利用可	伝えていない	0回	修正が多かった	どちらとも言えない	納品物の最終責任は自分にあると強く感じます
30代	女性	会社員（副業として）	クラウドワークス、知人からの紹介	2025	8月	ライティング・記事作成	動画の字幕とテロップ用テキストを作成しました	時間単価制	30,001〜50,000円	〜1時間	Gemini、Claude、ChatGPT、Copilot	ChatGPT	要約、キャッチコピー案の作成	51〜75%	大幅に修正した	受けたが時間がかかった	AI利用に条件あり	聞かれたら答えた	2回	修正が多かった	受けてもよい	クライアントに伝えたら好意的に受け止められました
40代	男性	自営業	ココナラ	2025	5月	ライティング・記事作成	SNS投稿用の短文を50本作成しました	固定報酬制	5,001〜10,000円	〜1時間	NotebookLM、Gemini	Gemini	要約、構成案・アウトライン作成、文章の下書き作成、校正・推敲	26〜50%	半分程度修正した	受けたが時間がかかった	ルールなし・不明	伝えた	1回	修正が多かった	受けてもよい	
30代	女性	自営業	クラウドワークス、ココナラ	2025	4月	SNS運用代行	動画の字幕とテロップ用テキストを作成しました	タスク形式	10,001〜30,000円	5〜10時間	Copilot、ChatGPT、Gemini	ChatGPT	アイデア出し	76〜99%	少し修正した	受けたが時間がかかった	AI利用可	伝えていない	3回	修正が多かった	あまり受けたくない	
