Q1. 年齢を教えてください,Q2. 性別を教えてください,Q3. 現在の職種を教えてください,Q4. この仕事を受注したサービス・経路を教えてください（複数回答可）,Q5. その仕事を受注・開始した年を教えてください（西暦）,Q6. その仕事を受注・開始した月を教えてください,Q7. 仕事の主なカテゴリを教えてください,Q8. 具体的に行った仕事内容を教えてください,Q9. 契約・報酬の形式を教えてください,Q10. この仕事で受け取った報酬額を教えてください,Q11. 実際の作業時間を教えてください（合計）,Q12. 使用したAI・AIツールを教えてください（複数回答可）,Q13. その中で一番使ったAIを1つ教えてください,Q14. AIを何に使いましたか（複数回答可）,Q15. 仕事全体のうちAIが担った割合を教えてください,Q16. AIの出力を人間がどれくらい修正しましたか,Q17. もしAIがなければ、この仕事を受けましたか,Q18. クライアント側のAI利用ルールはどうでしたか,Q19. AI利用をクライアントに伝えましたか,Q20. 修正依頼の回数を教えてください（0回を含む）,Q21. その仕事の結果はどうなりましたか,Q22. また同じような仕事を受けたいと思いますか,Q23. 最後に、ご意見・ご感想がありましたらご自由にお書きください
30代,男性,フリーランス,ココナラ,2024,11月,資料作成,アンケートの自由記述を分類して集計しました,固定報酬制,"30,000円",10〜20時間,"ChatGPT
Claude
Copilot",Claude,"要約
翻訳",26〜50%,少し修正した,わからない,AI利用可,聞かれたら答えた,1回,高評価だった,あまり受けたくない,たたき台づくりが速くなり、納期に余裕が持てました
50代,回答しない,パート・アルバイト,ランサーズ、クラウドワークス,2024,1月,データ入力・リスト作成,バナー用のラフ画像を生成しました,固定報酬制,3万円,1〜3時間,chatgpt,chatgpt,文章の下書き作成、要約,51〜75%,半分程度修正した,受けたが時間がかかった,ルールなし・不明,伝えた,4回以上,高評価だった,受けてもよい,事実確認は結局自分でやる必要があります
30代,男性,　主婦・主夫　,"SNS経由,その他のクラウドソーシング",2024,9月,ライティング・記事作成,競合サービスの調査レポートをまとめました,タスク形式,30000,5〜10時間,"GitHub Copilot,クロード,Perplexity",クロード,"表・データの整理,構成案・アウトライン作成",26〜50%,少し修正した,受けたが時間がかかった,ルールなし・不明,聞かれたら答えた,2回,問題なく完了した,ぜひ受けたい,特になし
40代,,主婦・主夫,"クラウドワークス
ココナラ",2023,10月,画像・イラスト制作,企業ブログ用の記事を構成案から執筆しました,固定報酬制,"約120,000円",5〜10時間,"ＣｈａｔＧＰＴ
Gemini",ＣｈａｔＧＰＴ,"アイデア出し
リサーチ・情報収集",26〜50%,半分程度修正した,受けたが時間がかかった,AI利用禁止,伝えていない,0回,問題なく完了した,どちらとも言えない,作業時間は体感で半分くらいになりました
10代,男性,会社員（本業として）,クラウドワークス、ココナラ,2024,9月,リサーチ・情報収集,SNS投稿用の短文を50本作成しました,固定報酬制,12000円,3〜5時間,ChatGPT、Felo,ChatGPT,要約、リサーチ・情報収集、アイデア出し、その他（画像生成、動画編集）,76〜99%,少し修正した,受けたが時間がかかった,AI利用可,伝えていない,0回,高評価だった,受けてもよい,単価が下がってきている気がして複雑です
50代,女性,会社員（副業として）,"ランサーズ,クラウドワークス",2024,2月,データ入力・リスト作成,SNS投稿用の短文を50本作成しました,時間単価制,,10〜20時間,chatgpt,chatgpt,画像生成,26〜50%,半分程度修正した,受けたが時間がかかった,AI利用禁止,伝えていない,0回,問題なく完了した,ぜひ受けたい,
20代,男性,会社員（本業として）,クラウドワークス,2025,1月,　,動画の字幕とテロップ用テキストを作成しました,タスク形式,5000円,10〜20時間,"クロード
Chat GPT
Perplexity
NotebookLM",Chat GPT,"文章の下書き作成
構成案・アウトライン作成",1〜25%,半分程度修正した,受けたが時間がかかった,AI利用可,伝えた,2回,修正が多かった,受けてもよい,専門用語の誤りが多く、そのままでは使えませんでした
50代,男性,会社員（副業として）,ランサーズ、クラウドワークス,24,3,音声の文字起こし,既存記事のリライトと見出しの調整を行いました,固定報酬制,55000,1〜3時間,ＣｈａｔＧＰＴ、Copilot、Gemini、NotebookLM,Gemini,文章の下書き作成,76〜99%,少し修正した,受けたが時間がかかった,ルールなし・不明,伝えた,1回,問題なく完了した,どちらとも言えない,使い方を覚えるまでは逆に時間がかかりました
30代,女性,フリーランス,ココナラ,2024,2月,プログラミング,問い合わせ対応用のテンプレート文を整備しました,固定報酬制,"約50,000円",,"Gemini,ChatGPT,Midjourney",ChatGPT,"表・データの整理,文章の下書き作成",76〜99%,少し修正した,変わらず受けた,ルールなし・不明,伝えた,2回,高評価だった,ぜひ受けたい,たたき台づくりが速くなり、納期に余裕が持てました
60代,女性,フリーランス,"ランサーズ
クラウドワークス",2025,4月,ライティング・記事作成,SNS投稿用の短文を50本作成しました,タスク形式,12000円,5〜10時間,"claude
chatgpt",claude,"文章の下書き作成
その他（記事作成, 校正）",51〜75%,半分程度修正した,わからない,AI利用可,伝えていない,0回,高評価だった,受けてもよい,
40代,女性,フリーランス,クラウドワークス,2025,4月,SNS運用代行,セミナー録音の文字起こしと議事録化を行いました,固定報酬制,　,10〜20時間,GitHub Copilot,GitHub Copilot,校正・推敲、要約,1〜25%,大幅に修正した,変わらず受けた,ルールなし・不明,聞かれたら答えた,0回,高評価だった,ぜひ受けたい,専門用語の誤りが多く、そのままでは使えませんでした
30代,女性,会社員（副業として）,"クラウドワークス,ランサーズ",2025,2月,プログラミング,ランディングページのキャッチコピーを20案出しました,固定報酬制,1万2000円,5〜10時間,"Copilot,ＣｈａｔＧＰＴ,Gemini",ＣｈａｔＧＰＴ,"リサーチ・情報収集,校正・推敲",51〜75%,半分程度修正した,受けなかった,ルールなし・不明,聞かれたら答えた,1回,問題なく完了した,あまり受けたくない,　　
